coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=0},-0.00453097021809136,0.0013276153259329131,-3.4128637486972773,6.435002708471928e-4,tfp_tl_ma3,80012,253025,8001,49682,0.004805644273753962,0.004762377177150334,7.951740020595288e-5,7.556534840380547e-5,le5_panelsize0,LE-event def: first
d_treated_{h=1},-0.007104015991526509,0.004791989776252267,-1.4824772846411283,0.1382207259793679,prod_res_ma3,80013,256514,8001,46874,0.027866270190126552,0.02782837068291577,1.2242037097709435e-5,8.343494944274e-6,le5_panelsize0,LE-event def: first
d_treated_{h=1},0.0020389511027363145,0.0023837916921173635,0.8553394616982031,0.39236897842606977,tfp_cd_ma3,80014,213302,8001,46874,0.0014007506817512727,0.001353932051367468,4.750518033502793e-6,6.210994563105032e-8,le5_panelsize0,LE-event def: first
d_treated_{h=1},0.0035724828005236713,0.0015244128965840233,2.3435138921541925,0.019108498396764168,tfp_tl_ma3,80015,213302,8001,46874,0.004529810623756347,0.004483138697168987,3.2054553495863836e-5,2.7366273421036702e-5,le5_panelsize0,LE-event def: first
d_treated_{h=2},0.019405104475201197,0.0054762402954703126,3.5435085803762454,3.953059029208482e-4,prod_res_ma3,80016,213884,8001,43903,0.027180832292380108,0.02713989523360072,8.506613507552885e-5,8.039088266587058e-5,le5_panelsize0,LE-event def: first
d_treated_{h=2},0.01128950858219024,0.0028854560057572057,3.9125561296602167,9.150993636873691e-5,tfp_cd_ma3,80017,178145,8001,43903,0.001076488933648645,0.001026019842231496,1.240307505269156e-4,1.1841772686937979e-4,le5_panelsize0,LE-event def: first
d_treated_{h=2},0.010504780528717448,0.0018151582781233255,5.787253186305185,7.2202420067725385e-9,tfp_tl_ma3,80018,178145,8001,43903,0.004110320750784324,0.00406000493910641,2.426592040254416e-4,2.3704684631475903e-4,le5_panelsize0,LE-event def: first
d_treated_{h=3},0.024110297666892277,0.006312249143880549,3.819604885251743,1.3389766708667996e-4,prod_res_ma3,80019,176645,8001,40384,0.019803446202185992,0.0197590522370239,1.2138822978402519e-4,1.1572755692135228e-4,le5_panelsize0,LE-event def: first
d_treated_{h=3},0.01873664128347329,0.003440171719456185,5.446426170387546,5.1804826725408635e-8,tfp_cd_ma3,80020,147218,8001,40384,8.450510262029143e-4,7.907524466881366e-4,2.9733531025499804e-4,2.905442671483627e-4,le5_panelsize0,LE-event def: first
d_treated_{h=3},0.01480971900364978,0.002206468651213298,6.711955320782001,1.9553326423401887e-11,tfp_tl_ma3,80021,147218,8001,40384,0.0029130829235709532,0.0028588967302226598,4.3097741203301787e-4,4.241872767655197e-4,le5_panelsize0,LE-event def: first
d_treated_{h=4},0.024983291691952604,0.007225941039925479,3.4574447195060776,5.460261628748655e-4,prod_res_ma3,80022,145558,8001,37959,0.00579841230017597,0.00575059772708153,1.1544708501243228e-4,1.0857738695047026e-4,le5_panelsize0,LE-event def: first
d_treated_{h=4},0.024628396536235414,0.004083301067940115,6.031491708902963,1.6456110206690362e-9,tfp_cd_ma3,80023,121329,8001,37959,7.190360530274775e-4,6.613793674773438e-4,4.752071968631144e-4,4.6696851771599324e-4,le5_panelsize0,LE-event def: first
d_treated_{h=4},0.017137461610643355,0.0028455580481487634,6.022531018754822,1.739256642797244e-9,tfp_tl_ma3,80024,121329,8001,37959,0.0014691654272602772,0.0014115520228042966,5.456648409689624e-4,5.374267425758417e-4,le5_panelsize0,LE-event def: first
d_treated_{h=5},0.024507080432299745,0.008456626277187445,2.8979736870257504,0.0037585670035964343,prod_res_ma3,80025,118249,8001,35602,0.0028447111440048634,0.00279411210362035,9.068714082549612e-5,8.223067600876544e-5,le5_panelsize0,LE-event def: first
d_treated_{h=5},0.03073872317606169,0.00474702934849994,6.475359834414152,9.636284054778723e-11,tfp_cd_ma3,80026,98379,8001,35602,9.125038192165924e-4,8.515665100524705e-4,6.767764761884676e-4,6.666178617095175e-4,le5_panelsize0,LE-event def: first
d_treated_{h=5},0.02204091091438884,0.0035238855908964156,6.254718079193375,4.047596677325746e-10,tfp_tl_ma3,80027,98379,8001,35602,0.001088110096710171,0.0010271834982936712,8.219140324157159e-4,8.117568933317942e-4,le5_panelsize0,LE-event def: first
d_treated_{h=6},0.03611510678173403,0.011489117282811085,3.143418758181361,0.001671751673570485,prod_res_ma3,80028,93674,8001,33490,0.0027711039620339495,0.002717871860567156,1.4212625217846497e-4,1.3145176490692023e-4,le5_panelsize0,LE-event def: first
d_treated_{h=6},0.04171346521611343,0.005919992655460809,7.046202190409049,1.894181748725796e-12,tfp_cd_ma3,80029,77836,8001,33490,0.0012917550387079313,0.0012275954444023185,0.001006441180445683,9.936055957248113e-4,le5_panelsize0,LE-event def: first
d_treated_{h=6},0.028064268313070295,0.004475391846250144,6.270795782180476,3.660430719419041e-10,tfp_tl_ma3,80030,77836,8001,33490,0.0011569039379990542,0.0010927356805108257,0.001064950530780151,0.0010521156978177126,le5_panelsize0,LE-event def: first
d_treated_{h=-4},0.04853018264711953,0.0036561843110409537,13.273450821548568,4.053790404157938e-40,prod_res_ma3,80101,224809,6227,38491,0.03146636610314679,0.03142759011791085,8.944267518602445e-4,8.89982312279769e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-4},0.009034410324360491,0.0018046370082115783,5.006220244432272,5.580104714603816e-7,tfp_cd_ma3,80102,188921,6227,38491,0.001947958056524035,0.0019004093781650466,1.3626508774144952e-4,1.3097231106395935e-4,le5_panelsize0,LE-event def: concentrated
