variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_ma3,0.015574027023245009,0.0010244175979319317,15.20281089927141,2.5014213111512133e-11,fe0215_le,~siren+an,12,12551,113990,0.044759302484852825,0.04460843662814129,0.04350336158029544,0.04349496912398265,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3 | an
ln_emp_ma3,-0.07646539810374134,0.0031646395879679676,-24.16243492449015,1.334659493379212e-14,fe0215_le,~siren+an,12,12551,113990,0.21767217895919122,0.21754175666736197,0.21664358217329804,0.2166298354606926,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+ln_va_ma3 | an
ln_va_ma3,0.08935797023460648,0.0030554165552916512,29.245757040835606,5.58789619948903e-16,fe0215_le,~siren+an,12,12551,113990,0.21767217895919122,0.21754175666736197,0.21664358217329804,0.2166298354606926,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+ln_va_ma3 | an
ln_emp_ma3,0.012892572130862827,9.337057174878041e-4,13.807960998194517,1.1433582971452219e-10,fe0215_le,~siren+an,12,12551,113990,0.21767217895918867,0.21754175666735942,0.2166435821732955,0.21662983546069003,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+ln_apl_ma3 | an
ln_apl_ma3,0.08935797023461793,0.003055416555292229,29.245757040833823,5.587896199494713e-16,fe0215_le,~siren+an,12,12551,113990,0.21767217895918867,0.21754175666735942,0.2166435821732955,0.21662983546069003,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+ln_apl_ma3 | an
ln_emp_ma3,0.012806222795862921,9.70049614141809e-4,13.201616297937946,2.3062771992522337e-10,fe0215_le,~siren+an,12,12551,113990,0.18905947264043532,0.18892428030894615,0.1879932561547647,0.18797900667255285,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3 | an
prod_res_ma3,0.0912049909182242,0.0036205762557062053,25.190738842879135,6.692535807920687e-15,fe0215_le,~siren+an,12,12551,113990,0.18905947264043532,0.18892428030894615,0.1879932561547647,0.18797900667255285,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3 | an
ln_emp_ma3,0.015524886374190753,0.0010222416110965099,15.187100784850605,2.5428693166854005e-11,fe0215_le,~siren+an,12,12551,113990,0.04537992355406828,0.04522077832767113,0.04412479863587859,0.044108024481252506,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3 | an
tfp_cd_ma3,0.009627880057436073,0.004791265577992918,2.0094649108282647,0.06063651359225868,fe0215_le,~siren+an,12,12551,113990,0.04537992355406828,0.04522077832767113,0.04412479863587859,0.044108024481252506,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3 | an
ln_emp_ma3,0.015839847353110222,0.0010138416356230383,15.623591295277716,1.619491143589487e-11,fe0215_le,~siren+an,12,12551,113990,0.04712679931346653,0.04696794530966686,0.04587397117003422,0.045857227710723425,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3 | an
tfp_tl_ma3,0.033409117891890355,0.009932278546156,3.363691194989732,0.003686248774636852,fe0215_le,~siren+an,12,12551,113990,0.04712679931346653,0.04696794530966686,0.04587397117003422,0.045857227710723425,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3 | an
before1994,0.006305150509817713,0.002985617670082761,2.1118412357342913,0.04980398094660371,fe0215_le,~siren+an,12,12551,113990,0.0018900199905167447,0.0017323835773925822,5.777149825728634e-4,5.689458896893651e-4,panelpanSIZE1-moving,fe0215_le~before1994 | an
maxmfg,0.019515744974257124,0.0025741478820803894,7.581438933681145,7.526998551604703e-7,fe0215_le,~siren+an,12,12551,113990,0.0087308055334672785,0.008574249519214483,0.00742749472186055,0.007418785730053168,panelpanSIZE1-moving,fe0215_le~maxmfg | an
ln_emp_ma3,0.012413695133742367,9.647319433065185e-4,12.867507103782337,3.4343706615664956e-10,fe0215_le,~siren+an,12,12551,113990,0.19748304994990207,0.19733517637178322,0.19642790869933513,0.1963997052706078,panelpanSIZE1-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
