variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
wage_agreement_ind_07,0.03519288341057445,0.0018069132248568522,19.476797737955852,4.348009122605081e-33,fe0215_mlo,~minmax_year,12,6799,6799,0.042021773678811214,0.029747320838581448,0.022840627798582647,0.022695043863510955,le5_panelsize0-acco,fe0215_mlo~wage_agreement_ind_07 | minmax_year
wage_agreement_ind_07,0.03416057299407902,0.0020574100813556765,16.60367726572517,2.066781540546459e-28,fe0215_mlo,~minmax_year,12,6799,6799,0.04215685421497495,0.02973957606219635,0.02297841298856662,0.02268724279425538,le5_panelsize0-acco,fe0215_mlo~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0012973259277337945,0.0011563456809342532,1.1219187731869575,0.2650563205437411,fe0215_mlo,~minmax_year,12,6799,6799,0.04215685421497495,0.02973957606219635,0.02297841298856662,0.02268724279425538,le5_panelsize0-acco,fe0215_mlo~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
wage_agreement_ind_07,0.027338459054836423,0.0014625933724602116,18.69177009112978,7.460589296231109e-32,fe0215_mlo,~minmax_year,12,6799,6799,0.2681394644480408,0.2506118510796478,0.01673367362852285,0.016585569045547754,le5_panelsize0-acco,fe0215_mlo~wage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_fail_07,0.017202895971757802,0.0023098291936858853,7.447691811491249,7.221447861985339e-11,fe0215_mlo,~minmax_year,12,6799,6799,0.0224679093629373,0.009942915352986859,0.0028952456865209975,0.002746690151015363,le5_panelsize0-acco,fe0215_mlo~wage_agreement_fail_07 | minmax_year
wage_agreement_fail_07,0.01352823092014399,0.0023218252001975534,5.826550129179808,9.863190292745123e-8,fe0215_mlo,~minmax_year,12,6799,6799,0.02537296521228216,0.012738104233809278,0.005858468098012493,0.005562195848898499,le5_panelsize0-acco,fe0215_mlo~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.005752384901525269,0.0012997964771141787,4.4256043179135025,2.837240155249235e-5,fe0215_mlo,~minmax_year,12,6799,6799,0.02537296521228216,0.012738104233809278,0.005858468098012493,0.005562195848898499,le5_panelsize0-acco,fe0215_mlo~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
wage_agreement_fail_07,0.008130575685675028,0.0021425096439096725,3.7948840551486502,2.760117352051692e-4,fe0215_mlo,~minmax_year,12,6799,6799,0.25630145401874393,0.23849032752212995,0.00082911741743618705,6.786172091844955e-4,le5_panelsize0-acco,fe0215_mlo~wage_agreement_fail_07 | minmax_year+naf2d_num_main
wage_agreement_share_07,0.03624803500007973,0.0018905417057078434,19.173359091016717,1.2932670878595734e-32,fe0215_mlo,~minmax_year,12,6799,6799,0.04070132830132056,0.02840995676286906,0.02149374376652058,0.02134795916338683,le5_panelsize0-acco,fe0215_mlo~wage_agreement_share_07 | minmax_year
wage_agreement_share_07,0.034743950977070254,0.0020901283206742165,16.622879386593276,1.9167201979261444e-28,fe0215_mlo,~minmax_year,12,6799,6799,0.041008819709401956,0.028576658677471944,0.021807391929936637,0.021515872750061726,le5_panelsize0-acco,fe0215_mlo~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
