an,annai,tenure,n_individuals,n_eqtp
2004,1958,9,809,738.3604395604395
2005,1950,8,812,706.5197802197803
2017,1954,3,815,370.34395604395604
2007,1978,10,816,730.4115384615385
2015,1948,10,820,519.4626373626373
2003,1956,8,821,719.4175824175824
2009,1950,7,825,652.5978021978023
2013,1952,5,825,489.8208791208791
2007,1982,7,828,661.0049450549451
2003,1950,8,829,720.4093406593406
2006,1946,4,832,579.9054945054945
2010,1982,10,832,782.2791208791209
2014,1950,2,834,247.32802197802198
2017,1956,7,835,582.0076923076923
2002,1946,7,838,691.2005494505495
2005,1952,8,841,754.9697802197802
2019,1992,9,841,712.2302197802197
2003,1952,8,842,764.6582417582417
2007,1978,9,844,762.9983516483517
2006,1948,6,847,644.2016483516484
2009,1946,2,848,299.6642857142857
2008,1954,9,853,779.5642857142857
2012,1946,1,853,121.72417582417583
2018,1956,5,853,463.04725274725274
2007,1950,9,854,729.3467032967033
2019,1956,4,858,470.37142857142857
2004,1964,9,859,796.3230769230769
2004,1962,9,860,788.2087912087912
2004,1968,9,862,784.8307692307692
2008,1946,7,862,632.354945054945
2010,1948,9,863,658.7472527472528
2011,1950,6,869,544.6923076923077
2016,1952,2,869,304.7268978580014
2015,1988,10,870,790.0340659340659
2013,1952,6,872,549.7763736263736
2005,1956,8,875,786.3675824175824
2011,1950,4,878,480.3208791208791
2007,1952,8,884,775.5730769230769
2003,1960,8,887,795.8725274725275
2004,1956,8,887,781.3351648351648
2018,1950,10,889,453.79945054945057
2001,1974,8,891,754.8203296703297
2006,1960,9,893,820.2104395604396
2013,1952,9,893,618.1318681318681
2004,1952,8,894,795.3813186813187
2003,1974,8,896,782.9384615384615
2004,1946,6,896,636.7324175824176
2009,1948,4,896,514.704945054945
2004,1948,7,898,764.5395604395604
2014,1948,1,899,126.4043956043956
2004,1950,8,900,794.3384615384615
2006,1958,9,900,813.1263736263736
2007,1950,7,904,754.7901098901099
2011,1950,5,904,533.8873626373627
2005,1954,8,905,817.5538461538462
2007,1946,3,907,494.53846153846155
2008,1980,9,908,802.310989010989
2009,1946,10,909,670.6961538461538
